x,pwm,rpm
3643,1100,-3643
3643,1104,-3643
3624,1108,-3624
3607,1112,-3607
3578,1116,-3578
3563,1120,-3563
3528,1124,-3528
3520,1128,-3520
3483,1132,-3483
3470,1136,-3470
3441,1140,-3441
3422,1144,-3422
3420,1148,-3420
3375,1152,-3375
3343,1156,-3343
3316,1160,-3316
3273,1164,-3273
3248,1168,-3248
3195,1172,-3195
3193,1176,-3193
3153,1180,-3153
3127,1184,-3127
3087,1188,-3087
3057,1192,-3057
3022,1196,-3022
2985,1200,-2985
2958,1204,-2958
2925,1208,-2925
2896,1212,-2896
2866,1216,-2866
2829,1220,-2829
2806,1224,-2806
2785,1228,-2785
2756,1232,-2756
2720,1236,-2720
2695,1240,-2695
2673,1244,-2673
2638,1248,-2638
2603,1252,-2603
2572,1256,-2572
2549,1260,-2549
2514,1264,-2514
2488,1268,-2488
2444,1272,-2444
2411,1276,-2411
2379,1280,-2379
2343,1284,-2343
2310,1288,-2310
2283,1292,-2283
2247,1296,-2247
2218,1300,-2218
2178,1304,-2178
2155,1308,-2155
2123,1312,-2123
2089,1316,-2089
2046,1320,-2046
2013,1324,-2013
1974,1328,-1974
1937,1332,-1937
1896,1336,-1896
1871,1340,-1871
1832,1344,-1832
1796,1348,-1796
1765,1352,-1765
1733,1356,-1733
1697,1360,-1697
1659,1364,-1659
1611,1368,-1611
1575,1372,-1575
1539,1376,-1539
1507,1380,-1507
1469,1384,-1469
1428,1388,-1428
1390,1392,-1390
1344,1396,-1344
1308,1400,-1308
1270,1404,-1270
1229,1408,-1229
1178,1412,-1178
1136,1416,-1136
1090,1420,-1090
1039,1424,-1039
989,1428,-989
935,1432,-935
884,1436,-884
823,1440,-823
760,1444,-760
703,1448,-703
638,1452,-638
575,1456,-575
501,1460,-501
428,1464,-428
357,1468,-357
,1472,0
,1476,0
,1480,0
,1484,0
,1488,0
,1492,0
,1496,0
,1500,0
,1504,0
,1508,0
,1512,0
,1516,0
,1520,0
,1524,0
,1528,0
,1532,347
,1536,424
,1540,494
,1544,562
,1548,624
,1552,686
,1556,745
,1560,805
,1564,856
,1568,906
,1572,959
,1576,1009
,1580,1052
,1584,1099
,1588,1140
,1592,1184
,1596,1227
,1600,1267
,1604,1301
,1608,1341
,1612,1377
,1616,1419
,1620,1456
,1624,1493
,1628,1527
,1632,1564
,1636,1599
,1640,1637
,1644,1679
,1648,1716
,1652,1747
,1656,1783
,1660,1817
,1664,1851
,1668,1887
,1672,1920
,1676,1952
,1680,1989
,1684,2021
,1688,2066
,1692,2098
,1696,2143
,1700,2171
,1704,2198
,1708,2230
,1712,2265
,1716,2293
,1720,2330
,1724,2351
,1728,2402
,1732,2443
,1736,2474
,1740,2513
,1744,2546
,1748,2577
,1752,2602
,1756,2627
,1760,2670
,1764,2695
,1768,2731
,1772,2766
,1776,2809
,1780,2823
,1784,2850
,1788,2894
,1792,2914
,1796,2960
,1800,2985
,1804,3026
,1808,3055
,1812,3089
,1816,3124
,1820,3180
,1824,3222
,1828,3265
,1832,3283
,1836,3324
,1840,3375
,1844,3391
,1848,3417
,1852,3446
,1856,3482
,1860,3513
,1864,3542
,1868,3572
,1872,3597
,1876,3619
,1880,3637
,1884,3653
,1888,3687
,1892,3711
,1896,3751
,1900,3742
